table_size,position,effective_stack_bb,street,hand_key,board_texture_key,action_history_key,action,size_bb,probability,source,notes
9,BTN,100,flop,ANY,middle_high|unpaired|monotone|semi_connected|0,BTN_vs_BB_SRP_cbet,bet,50,45.0,Postflop_Heuristic_9max,texture=monotone desc=同花面 (如 9♥6♥2♥)
9,BTN,100,flop,ANY,middle_high|unpaired|monotone|semi_connected|0,BTN_vs_BB_SRP_cbet,check,,55.0,Postflop_Heuristic_9max,texture=monotone desc=同花面 (如 9♥6♥2♥)
9,BB,100,flop,ANY,middle_high|unpaired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,fold,,35.0,Postflop_Heuristic_9max,texture=dry_low desc=干燥低张 (如 7♥2♣3♦)
9,BB,100,flop,ANY,middle_high|unpaired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,call,,55.0,Postflop_Heuristic_9max,texture=dry_low desc=干燥低张 (如 7♥2♣3♦)
9,BB,100,flop,ANY,middle_high|unpaired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,raise,50,10.0,Postflop_Heuristic_9max,texture=dry_low desc=干燥低张 (如 7♥2♣3♦)
9,BB,100,flop,ANY,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,fold,,35.0,Postflop_Heuristic_9max,texture=dry_high desc=干燥高张 (如 K♥7♣2♦)
9,BB,100,flop,ANY,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,call,,55.0,Postflop_Heuristic_9max,texture=dry_high desc=干燥高张 (如 K♥7♣2♦)
9,BB,100,flop,ANY,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,raise,50,10.0,Postflop_Heuristic_9max,texture=dry_high desc=干燥高张 (如 K♥7♣2♦)
9,BB,100,flop,ANY,middle_high|unpaired|two_tone|connected|0,BB_vs_BTN_SRP_vs_cbet,fold,,50.0,Postflop_Heuristic_9max,texture=wet_connected desc=湿润连张 (如 J♥T♣8♦)
9,BB,100,flop,ANY,middle_high|unpaired|two_tone|connected|0,BB_vs_BTN_SRP_vs_cbet,call,,40.0,Postflop_Heuristic_9max,texture=wet_connected desc=湿润连张 (如 J♥T♣8♦)
9,BB,100,flop,ANY,middle_high|unpaired|two_tone|connected|0,BB_vs_BTN_SRP_vs_cbet,raise,50,10.0,Postflop_Heuristic_9max,texture=wet_connected desc=湿润连张 (如 J♥T♣8♦)
9,BB,100,flop,ANY,broadway_high|unpaired|rainbow|semi_connected|2,BB_vs_BTN_SRP_vs_cbet,fold,,50.0,Postflop_Heuristic_9max,texture=wet_two_broadway desc=两张高牌 (如 K♥Q♣5♦)
9,BB,100,flop,ANY,broadway_high|unpaired|rainbow|semi_connected|2,BB_vs_BTN_SRP_vs_cbet,call,,40.0,Postflop_Heuristic_9max,texture=wet_two_broadway desc=两张高牌 (如 K♥Q♣5♦)
9,BB,100,flop,ANY,broadway_high|unpaired|rainbow|semi_connected|2,BB_vs_BTN_SRP_vs_cbet,raise,50,10.0,Postflop_Heuristic_9max,texture=wet_two_broadway desc=两张高牌 (如 K♥Q♣5♦)
9,BB,100,flop,ANY,ace_high|unpaired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,fold,,35.0,Postflop_Heuristic_9max,texture=ace_high_dry desc=A高干燥 (如 A♥7♣2♦)
9,BB,100,flop,ANY,ace_high|unpaired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,call,,55.0,Postflop_Heuristic_9max,texture=ace_high_dry desc=A高干燥 (如 A♥7♣2♦)
9,BB,100,flop,ANY,ace_high|unpaired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,raise,50,10.0,Postflop_Heuristic_9max,texture=ace_high_dry desc=A高干燥 (如 A♥7♣2♦)
9,BB,100,flop,ANY,middle_high|paired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,fold,,40.0,Postflop_Heuristic_9max,texture=paired_low desc=低对子面 (如 8♥8♣2♦)
9,BB,100,flop,ANY,middle_high|paired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,call,,48.0,Postflop_Heuristic_9max,texture=paired_low desc=低对子面 (如 8♥8♣2♦)
9,BB,100,flop,ANY,middle_high|paired|rainbow|disconnected|0,BB_vs_BTN_SRP_vs_cbet,raise,50,12.0,Postflop_Heuristic_9max,texture=paired_low desc=低对子面 (如 8♥8♣2♦)
9,BB,100,flop,ANY,broadway_high|paired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,fold,,40.0,Postflop_Heuristic_9max,texture=paired_high desc=高对子面 (如 K♥K♣5♦)
9,BB,100,flop,ANY,broadway_high|paired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,call,,48.0,Postflop_Heuristic_9max,texture=paired_high desc=高对子面 (如 K♥K♣5♦)
9,BB,100,flop,ANY,broadway_high|paired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,raise,50,12.0,Postflop_Heuristic_9max,texture=paired_high desc=高对子面 (如 K♥K♣5♦)
9,BB,100,flop,ANY,middle_high|unpaired|monotone|semi_connected|0,BB_vs_BTN_SRP_vs_cbet,fold,,50.0,Postflop_Heuristic_9max,texture=monotone desc=同花面 (如 9♥6♥2♥)
9,BB,100,flop,ANY,middle_high|unpaired|monotone|semi_connected|0,BB_vs_BTN_SRP_vs_cbet,call,,40.0,Postflop_Heuristic_9max,texture=monotone desc=同花面 (如 9♥6♥2♥)
9,BB,100,flop,ANY,middle_high|unpaired|monotone|semi_connected|0,BB_vs_BTN_SRP_vs_cbet,raise,50,10.0,Postflop_Heuristic_9max,texture=monotone desc=同花面 (如 9♥6♥2♥)
